,Product_Url,Product_Name,Product Price,Rating,Number of reviews,Description,ASIN,Product Description,Manufacturer
52,https://www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_38?keywords=bags&qid=1679485222&sr=8-38,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","₹1,099",4.3 out of 5,390 global ratings,"Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant. Capacity: 36 liters, Dimensions: 48 x 33 x 23 cm Warranty: 12 months
3 Spacious compartment: Store your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Laptop Sleeve: Ensure that your laptop is stored separately and Securely! Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. 2 side pocket: For holding water bottle, clipping pens or pencil or storing other items. 1 Front Pocket: Easily accessible. To keep all your essentials such as wallet, ticket, cosmetics.
Easy grab padded handle: For added comfort and convinience to hold the bag. Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!
Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.
Stylish & Cute: This bag is designed for those Millennials and GenZ, who aren't afraid to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.",B097JHQH13,"Product Dimensions : 23 x 33 x 48 cm; 510 Grams
Date First Available : 1 February 2022
Manufacturer : Safari
ASIN : B097JHQH13
Item model number : GLITTER19CBBLK
Country of Origin : Bangladesh
Department : girls
Manufacturer : Safari, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Packer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Importer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Item Weight : 510 g
Item Dimensions LxWxH : 23 x 33 x 48 Centimeters
Generic Name : Casual Daypack","Safari, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
53,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_39?keywords=bags&qid=1679485222&sr=8-39,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹748,4.1 out of 5,"1,046 global ratings","Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories
CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem
FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult
COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.
12 Months Limited Brand Warranty",B098QFF5TJ,"Product Dimensions : 36.8 x 22.9 x 50.8 cm; 900 Grams
Date First Available : 6 July 2021
Manufacturer : Wesley
ASIN : B098QFF5TJ
Item model number : Spartan Hiking
Country of Origin : India
Department : unisex-adult
Manufacturer : Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507
Packer : Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507
Item Weight : 900 g
Item Dimensions LxWxH : 36.8 x 22.9 x 50.8 Centimeters
Included Components : backpack, Raincover
Generic Name : LAPTOP BACKPACK","Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507"
55,https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS/ref=sr_1_41?keywords=bags&qid=1679485222&sr=8-41,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,₹849,4 out of 5,"12,988 global ratings","STORAGE CAPACITY : The backpack for men has 3 large compartments, 1 front zip pocket and daily essentials. 1 Side Bottle Holder, 1 Internal Organiser to store pens, keys, money etc. This casual bag/laptop bag can also accommodate files and a 15.6 inch laptop/MacBook or a tablet easily. In deed a perfect all-rounder backpack for men, school bags for boys and girls, college bags for men and college bag for girls, office bag for men and women. One Bag multiple uses. Great Value !!
FEATURES & WARRANTY : Strap Type: Adjustable; Closure Type: Zipper; Color Name: Navy Blue; Pattern Name: Solid; Compartment Description: Not Laptop Compatible; Special Features: Zip Closure; Capacity: 35 liters; Number of Compartments: 3 Compartments; Water Resistance Level: Water Resistant; Age Range Description: Kid; Style Name: Traditional Backpacks; Pocket Description: Utility Pocket; Warranty Description: This laptop bag for men has 1 Year Warranty for any manufacturing defects.
DIMENSIONS :19(H) x 12.5(W) x 8.5(B) inches. This school bags for boys has heavy duty zippers and it perfectly serves the purpose of a school bag, college bag, office bag with plenty of space on the inside.
MATERIAL : This college bags for men is made from Imported 420D. It is lightweight polyester fabric. These college bag for women has tested strength of 140 Kgs. It also has 900D super strong base with foam padding for protection.
THE ULTIMATE BACKPACK FOR MEN : This laptop bag has adjustable shoulders, padded handle, quick haul loop, 3D air flow panel preventing sweat. This 35L school bags for boys/college bag for girls can accommodate a water bottle on one side pocket or also an umbrella.",B07WNFN1XS,"Product Dimensions : 31.75 x 21.59 x 48.26 cm; 440 Grams
Date First Available : 19 August 2019
Manufacturer : Lunar's
ASIN : B07WNFN1XS
Item model number : Comet
Country of Origin : India
Department : unisex-adult
Manufacturer : Lunar's, Akshaya Rubbers, Hebbal Industrial Area, Mysore
Item Weight : 440 g
Item Dimensions LxWxH : 31.8 x 21.6 x 48.3 Centimeters","Lunar's, Akshaya Rubbers, Hebbal Industrial Area, Mysore"
57,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDMzMTczNDk1NzEyNTA0OjE2Nzk0ODUyMjI6c3BfbXRmOjIwMTMyMTI0MjA4Mzk4OjowOjo&url=%2FHalf-Moon-Trekking-Bags-Compartment%2Fdp%2FB08PSX1LN9%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dbags%26qid%3D1679485222%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"₹1,299",4.1 out of 5,"1,013 global ratings","ROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartments having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser (small pockets inside a office bag for men / office bag for women).
COMFORTABLE TRAVEL : This backpack for men has Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. The laptop bag for men comes with Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. CAPACITY : 45L; Weight: 0.7kg ; Dimensions: 56x36x25cm ; Utility: Ideal for Travel, Hiking, Trekking & Camping.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps), 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.
QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this laptop bag for men is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure point for extra strength.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap, Breathable Mesh etc.",B08PSX1LN9,"Product Dimensions : 56 x 36 x 25 cm; 820 Grams
Date First Available : 5 December 2020
Manufacturer : AB Amazing Bags
ASIN : B08PSX1LN9
Item model number : Laptop Bag
Country of Origin : India
Department : unisex-adult
Manufacturer : AB Amazing Bags
Item Weight : 820 g
Item Dimensions LxWxH : 56 x 36 x 25 Centimeters
Generic Name : Rucksack",AB Amazing Bags
59,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_45?keywords=bags&qid=1679485222&sr=8-45,ADISA Laptop Backpack 31 Ltrs,₹499,4 out of 5,"9,085 global ratings","Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo
NOT INCLUDED: NO RAINCOVER, Headphone & Cable (Images only for display)
Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)
Compartments: 2 with full padding; Front Easy-Access Pocket
Dimensions : L x W x H- 12 x 7 x 18 inches",B07G3CG9FC,"Product Dimensions : 30.5 x 17.8 x 45.7 cm; 430 Grams
Date First Available : 26 July 2018
Manufacturer : ADISA
ASIN : B07G3CG9FC
Item model number : BP004
Country of Origin : India
Department : Men
Manufacturer : ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com
Packer : ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com
Item Weight : 430 g
Item Dimensions LxWxH : 30.5 x 17.8 x 45.7 Centimeters
Net Quantity : 1.00 Unit
Included Components : Laptop backpack only
Generic Name : Laptop backpack","ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
62,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_48?keywords=bags&qid=1679485222&sr=8-48,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299",4.1 out of 5,8 global ratings,"Care Instructions: Hand Wash Only
Well Organized compartment ,Security Back Pocket",B0BTD4S4XF,"Product Dimensions : 20 x 32.5 x 47.5 cm; 510 Grams
Date First Available : 30 January 2023
Manufacturer : EXPERTS
ASIN : B0BTD4S4XF
Item model number : LT9 (0) 09 002
Country of Origin : China
Department : mens
Manufacturer : EXPERTS, China
Packer : China
Importer : Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com
Item Weight : 510 g
Item Dimensions LxWxH : 20 x 32.5 x 47.5 Centimeters
Generic Name : BACKPACK","EXPERTS, China"
63,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_49?keywords=bags&qid=1679485222&sr=8-49,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,₹834,4 out of 5,"5,136 global ratings","MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack for men features with multiple storage compartments and for additional supplies and accessories such as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.
DURABLE MATERIAL: The school bag for boys is made up of superior quality which is durable, eco-friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.
COMFORTABLE DESIGN: Our school bag for boys ""S"" Curve is adjustable, heavily padded shoulder straps and back panel make the school bag more comfortable to wear even when loaded with all your gear; Compact: Backpack for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella and thus it is best school bags for boys.
Size:18*13*9 inch(L*W*H), Capacity: The college bag has capacity of 36.5L which is bigger than others of the same style. Good size for school bags, college bag, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch; Pocket Description: Utility Pocket
Compartment Description: The backpack for men is not laptop compatible; Warranty Description: 1 Year From The Date Of Purchase, Water Resistance Level: Waterproof",B07XVMR33Q,"Product Dimensions : 45.72 x 33.02 x 22.86 cm; 440 Grams
Date First Available : 12 September 2019
Manufacturer : Atulitu Agency
ASIN : B07XVMR33Q
Item part number : Flame-Blu
Country of Origin : India
Department : unisex-adult
Manufacturer : Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)
Packer : Atulitu Agency,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)
Item Weight : 440 g
Item Dimensions LxWxH : 45.7 x 33 x 22.9 Centimeters
Net Quantity : 1.00 Unit","Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)"
64,https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_50?keywords=bags&qid=1679485222&sr=8-50,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,₹222,4.3 out of 5,"2,948 global ratings","Care Instructions: Hand Wash Only
Fabric :: 600D Oxford PU coated; Compartments : 1 Ccompartment and 1 front pocket :: Zipper : #5 SBS Nylon Zipper and Runner Puller<br>
Included Items :: Drawstring Backpack<br>
Dimensions : LxWxD : 46 X 32 X 10 cm, Capacity : 15 Liters<br>
Warranty: 1 year Warranty against manufacturing defects..<br>
Pocket Description: Utility Pocket; Compartment Description: Not Laptop Compatible; Strap Type: Shoulder Strap; Water Resistance Level: Not Water Resistant; Special Features: Checkpoint Friendly; Pattern Name: Solid; Age Range Description: Adult; Lining Description: Polyester<br>",B08L6Q9V1H,"Product Dimensions : 46 x 32 x 10 cm; 190 Grams
Date First Available : 14 October 2020
Manufacturer : Arctic Fox
ASIN : B08L6Q9V1H
Item model number : FTEBPKMULW109015BLACK
Country of Origin : India
Department : unisex-adult
Manufacturer : Arctic Fox, Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097..
Packer : Outshiny India Pvt. Ltd., No.17, Ganesh Nagar, 8th B Cross,Narayanappa Layout, Kodigehalli,Bengaluru - 560097.
Item Weight : 190 g
Item Dimensions LxWxH : 46 x 32 x 10 Centimeters
Net Quantity : 1.00 count
Generic Name : Drawstring","Arctic Fox, Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097.."
65,https://www.amazon.in/DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX/ref=sr_1_51?keywords=bags&qid=1679485222&sr=8-51,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),₹239,3.8 out of 5,"1,400 global ratings",trap Type: Shoulder Strap; Color Name: Red; Warranty Description: No Warranty; Water Resistance Level: Not Water Resistant; Closure Type: Zipper,B07BNS3KNX,"Is Discontinued By Manufacturer : No
Product Dimensions : 5.31 x 33.5 x 42.19 cm; 170 Grams
Date First Available : 22 March 2018
Manufacturer : Rushi Enterprise
ASIN : B07BNS3KNX
Item model number : FA-SPIDER-2
Country of Origin : India
Department : Unisex Kids
Manufacturer : Rushi Enterprise, Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876
Packer : Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876
Item Weight : 170 g
Item Dimensions LxWxH : 5.3 x 33.5 x 42.2 Centimeters
Net Quantity : 1 Count
Included Components : Kids Bag
Generic Name : Kids Bag","Rushi Enterprise, Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876"
67,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDMzMTczNDk1NzEyNTA0OjE2Nzk0ODUyMjI6c3BfYnRmOjIwMTA4NDc1MDc0Njk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dbags%26qid%3D1679485222%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,400",4.7 out of 5,19 global ratings,"Care Instructions: Wipe with Damp Cloth
Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.
Handcrafted with care and made up of premium quality robust material
Padded laptop compartment fits up to 15.6"" Laptop, Tablet Sleeve; Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Gadget Pocket; Internal Organiser
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BRMWDNZ7,"Product Dimensions : 17 x 31 x 49.5 cm; 750 Grams
Date First Available : 4 January 2023
Manufacturer : Acefour Accessories Pvt. Ltd.
ASIN : B0BRMWDNZ7
Item model number : 3600EBP1BLK
Country of Origin : India
Department : unisex-adult
Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India
Packer : Acefour Accessories Pvt. Ltd.
Item Weight : 750 g
Item Dimensions LxWxH : 17 x 31 x 49.5 Centimeters
Net Quantity : 1.00 count","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
68,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDMzMTczNDk1NzEyNTA0OjE2Nzk0ODUyMjI6c3BfYnRmOjIwMDYzNzg0NDU4MDk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B68Z3X7D%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dbags%26qid%3D1679485222%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600",4 out of 5,374 global ratings,Handcrafted with care and made up of premium quality robust material,B0B68Z3X7D,"Product Dimensions : 28.2 x 14.1 x 42.2 cm; 5.02 Grams
Date First Available : 11 July 2022
Manufacturer : Acefour Accessories Pvt. Ltd.
ASIN : B0B68Z3X7D
Item model number : 2300EBP1BLU
Country of Origin : India
Department : unisex-adult
Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India
Item Weight : 5.02 g
Item Dimensions LxWxH : 28.2 x 14.1 x 42.2 Centimeters
Net Quantity : 1.00 count","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
